tweet,sentiment
"On last night's @KNWAnews, the station previewed a new engineering internship I'm developing in conjunction with @UofA_Engr. Take a look: http://pbs.twimg.com/amplify_video_thumb/890205547668144133/img/4SQOv6lTukWH04rW.jpg https://video.twimg.com/amplify_video/890205547668144133/pl/dYEm2YLwG0vQgL-l.m3u8",2
"We need a raise y'all! Every working person in America needs a living wage. Here with @OurRevolution, talking about the People's Platform! http://pbs.twimg.com/media/DFl2k6NWAAEYhiH.jpg",2
Learn more about what I'm doing to help these recruits who want to serve our country in critical roles → http://bit.ly/2tuqd0W,2
"POTUS would be making a grave mistake if he vetoes sanctions on Russia that have passed Congress with an overwhelming, vet-proof majority https://twitter.com/johnjharwood/status/890541111864852480 QT @JohnJHarwood WH Communications Director says Trump may veto Russia sanctions bill",1
"RT @bluevirginia @RepDonBeyer, Over 100 Representatives Urge Interior Secretary Zinke To Halt Seismic Airgun Blasting In the Atlantic http://bluevirginia.us/2017/06/thursday-news-trumps-obama-obsession-perriello-wealthy-donors-team-help-democrats-chase-seats-va-house#comment-3391543199 http://pbs.twimg.com/media/DDfzQwaWsAAXxiU.jpg",2
"Invasive zebra mussels threaten the habitat, our economy, and natural resources. https://t.co/L2eUrHbKpH",1
RT @blcamp Congressman Steve Scalise is now out of the ICU. #PraiseJesus #CongressionalBaseballShooting #tcot #lnyhbt,2
I now see why Senate Republicans hid their version of #Trumpcare from the public until the very last second https://t.co/LDU62lGL6c,2
"RT @USNavy #BREAKING: #USNavy’s newest aircraft carrier, #USSGeraldRFord has been commissioned by @POTUS. http://pbs.twimg.com/media/DFWb3HiV0AAg-eA.jpg https://video.twimg.com/amplify_video/888787023770771457/vid/320x180/hsSKwDzHUv-e_k73.mp4",2
RT @HamiltonCollege Alumni networking: Rory Gagnon '19 interning in US Rep @SteveKnight25 office in DC this summer w/ Legis Correspondent @ChrisJusuf '15 https://twitter.com/ChrisJusuf/status/885990339567378433,2
"@HouseJudiciary Every Congress since 2007, I've introduced a #balancedbudget amendment. Unsustainable spending levels jeopardize our nation’s future.",1
"""We can't continue to let emissions ruin everyday American lives."" TY @SenWhitehouse for being a strong voice in the #climatechange fight! http://pbs.twimg.com/media/DEootiOUMAEP8um.jpg",2
RT @NRO Andrew Cuomo’s Edifice Complex http://natl.io/0Ol4Vi via @rkylesmith http://pbs.twimg.com/media/DFT3gvpW0AADjMf.jpg,2
RT @AFPhq We're going live with @RepMarkMeadows to discuss tax #TaxReform at Noon Eastern today! Tune in: http://bit.ly/2uYVZB1 #UnRigIt,2
"RT @MChirinos84 @RepKihuen lo admiro profundamente #HeretoStay, gracias @RepGutierrez por ser la voz del movimiento. https://twitter.com/RepGutierrez/status/890962825589530624",2
RT @Transport The time for real FAA reform is now.  It's time for the 21st Century AIRR Act. #aviation #reform http://pbs.twimg.com/amplify_video_thumb/879694111263117316/img/Zi6RuE7suV18iCSK.jpg https://video.twimg.com/amplify_video/879694111263117316/vid/1280x720/rmR3Xkdz0yHYjX70.mp4,2
"Meet Tonya, owner of a small medical business, whose patients can’t afford can’t afford service due to unbearably high deductibles. http://pbs.twimg.com/media/DFhA6oJXYAA3BKo.jpg https://video.twimg.com/amplify_video/889531918777290752/vid/480x480/FUtBTbzFqfy_h9rH.mp4",1
DYK: More water flows into the ocean than is directed to the Central Valley? Time to pass the #GROWAct 🌱 http://pbs.twimg.com/media/DEkQ2aUXgAIX48M.jpg,2
"I continue to fight #ACARepeal because of people like @morethanmySLE, Baby Theo &amp; @RedTRaccoon. We must #ProtectOurCare http://pbs.twimg.com/ext_tw_video_thumb/889916657786900480/pu/img/d1tgd0-g3xUrN3RW.jpg https://video.twimg.com/ext_tw_video/889916657786900480/pu/vid/1280x720/6f_XYt7N1fx1CpYN.mp4",1
"In 2018, 45% of seats “safely” R &amp; 40% “safely” D. So just 15% of Reps will run in competitive races. h/t @CookPolitical #openourdemocracy",2
"@SenJohnMcCain My thoughts and prayers are with @SenJohnMcCain, a true hero. Cancer is up against one of Anerica's toughest fighters.",2
"Just like @HouseGOP’s #HealthcareBill, @SenateGOP's #Trumpcare leaves tens of millions of Americans uninsured. That's just plain wrong.",1
@FCC We need to push back against FCC's—&amp; large corps who are behind this attack—move to destroy the free &amp; open internet that Americans deserve.,1
RT @gagetaylor No surprise here - @GovRicketts serves as an adocate for Nebraska agriculture! #GrowNE https://twitter.com/quorumanalytics/status/885914369074364416,2
The strong performance of US banks in the stress test is further proof that Dodd-Frank is working. https://www.wsj.com/articles/feds-stress-tests-biggest-u-s-banks-declared-healthy-1498163432,3
ICYMI: Our hearing on ways to workers have the needed skills for 21st century jobs https://youtu.be/2meLnRKTb6Q?t=4m47s,2
RT @DariaSokolova77 @RepKihuen wants to defund Yucca Mountain licensing  http://m.pvtimes.com/news/congressman-kihuen-wants-defund-yucca-licensing#sthash.jTOWFnC2.dpbs,2
#Shake things up in #SoFla this weekend + head over to Crandon Park 4 a family #BeachDay! For more info: http://bit.ly/1SlrUC6,2
RT @kplinske @RepDarrenSoto @larosamike @ArringtonD3 @RepJCortes Working on final touches @valenciacollege's Poinciana Campus-1st day of classes 8/28/17! http://pbs.twimg.com/media/DFwfU1IWsAE6Swk.jpg,2
House Republicans just voted to have American taxpayers pay for a section of #borderwall that does nothing for our security. Unbelievable.,1
"RT&amp; amplify our message:Cruz's #Trumpcare ""fix"" is ""a recipe for instability and discrimination."" Sign our petition: http://my.paultonko.com/page/s/vote-no http://pbs.twimg.com/tweet_video_thumb/DEpBvuCUAAA24w6.jpg https://video.twimg.com/tweet_video/DEpBvuCUAAA24w6.mp4",1
My statement on today’s North Korea missile test-launch: http://goo.gl/9tzD6b http://pbs.twimg.com/media/DF1roUvXUAAy1bB.jpg,2
We are in full swing this morning marking up the FY18 #CJS appropriations bill. http://pbs.twimg.com/media/DEnzx8eXkAAOi7X.jpg http://pbs.twimg.com/media/DEnzx8pXcAEL31J.jpg,2
RT @climatesolution US House version of 100 by 50 Act introduced by @RepJayapal and others https://polis.house.gov/news/documentsingle.aspx?DocumentID=398424 #100percentCLEAN #ActOnClimate,2
"My bill, H.R. 1967, the Bureau of Reclamation Pumped Storage Hydropower Development Act just passed the House unanimously! #RenewableEnergy http://pbs.twimg.com/media/DDWbgqtWsAEU5pr.jpg",3
New FBI Dir Christopher Wray got overwhelming vote 92-5 bc of his dedication 2 Constitution/rule of law +promise of indpndence from politics,3
"For a list of what the House of Representatives will be voting on this week, follow this link ⟶ https://www.majorityleader.gov/weekly-schedule/",2
Took a stand against #Trumpcare today with doctors and medical providers. The @SenateGOP version is just as mean as the House version. #TX29 https://t.co/06LRqer8OR,1
RT @mattdizwhitlock Hatch statement on the President's decision to nominate former Utah Governor Jon Huntsman as Ambassador to Russia. #utpol http://pbs.twimg.com/media/DFDay8AXgAEkjpf.jpg,2
@USCBO @SenateGOP Bottom line: 22 million more people uninsured under GOP plan. https://t.co/xgrUIMdoNX,2
"RT @AARPadvocates “Skinny repeal” is a bait and switch. Reality: passage would put Congress one step closer to passing higher-costs, less-coverage House bill.",2
"RT @GovWaste 2017 Congressional #PigBook has been released. Find out what’s in ""the book Washington doesn’t want you to read..."" http://www.pigbook.org http://pbs.twimg.com/media/DFGY1GnXYAASfsc.jpg",2
Thank YOU @oregonfoodbank for your critical work to #EndHunger! http://pbs.twimg.com/media/DGUnCY2UMAARhjy.jpg,3
Aug 2: Americans Spend Too Much $ Filing Taxes. We spend $99 billion annually on complying - that's $ families could use towards other needs http://pbs.twimg.com/media/DGPvCuQXYAABLYw.jpg,1
#FourthOfJuly is coming up quick! Did you know we can order a flag flown over the U.S. Capitol for you? 🇺🇸 Details → https://t.co/dnEoGWq0k3 https://t.co/RpfqLqJEcL,2
"Today, I hosted a roundtable discussion on animal disease prevention and preparedness.  The… https://www.instagram.com/p/BW-wCmUBC-p/",2
YOUR grassroots advocacy against GOP’s diabolical #HealthCareBill is making a difference! Keep calling and keep making your voices heard! http://pbs.twimg.com/media/DDcJRq5XUAEm8Tr.png,3
.@RepGoodlatte Applauds Attorney General Sessions for Efforts to Combat Dangerous Sanctuary Policies http://bit.ly/2tB1R23 https://twitter.com/HouseJudiciary/status/889966377330769920 QT @HouseJudiciary NEW: @TheJusticeDept makes new move against sanctuary cities http://politi.co/2uXihVE,3
We need action. @RepJohnConyers &amp; I have a bill to #SaveTheBees &amp; put an end to bee-toxic neonic pesticides.,2
"Your stories, phone calls, emails, advocacy and all your hard work paid off – and it has not gone unnoticed. https://www.nytimes.com/2017/08/01/opinion/obamacare-trumpcare-citizen.html?smid=tw-nytopinion&smtyp=cur",3
"RT @LakeCtyPartners Own a small business or thinking of starting one? Get tips and resources from @RepSchneider on July 6 @clcnewsroom! 
https://www.eventbrite.com/e/congressman-brad-schneider-hosts-a-small-business-forum-resource-fair-tickets-35547020094 http://pbs.twimg.com/media/DDbRC1cXYAAxHEH.jpg",2
RT @lowkell Video: @RepDonBeyer on the Bill Press Show http://bluevirginia.us/2017/07/wednesday-news-health-care-procedural-madness-senate-john-mccains-tragic-contradictions-trump-vs-rule-law#comment-3436250225 http://pbs.twimg.com/media/DFqPvPPW0AE5S3h.jpg,2
Congressman Hank Johnson's July 13 E-Newsletter: https://hankjohnson.house.gov/media-center/e-newsletters/congressman-hank-johnsons-july-13-e-newsletter,2
"Yesterday, I took part in the solemn ceremony unveiling the historical marker. #Detroit67 http://www.freep.com/story/news/2017/07/23/gordon-park/503238001/",2
Teachers are some of the hardest working professionals. So why is @HouseGOP following Trump/DeVos lead by undercutting them? #EdCutsDontHeal http://pbs.twimg.com/amplify_video_thumb/887097614226903040/img/B9R6EWNvkYCQhixz.jpg https://video.twimg.com/amplify_video/887097614226903040/vid/640x360/sXP24QZFHmbxJ3HR.mp4,1
NEW @KaiserFamFound study finds more proof #ACAWorks. Read now --&gt; http://thehill.com/policy/healthcare/341249-study-obamacare-market-stabilizing-not-collapsing. #ProtectOurCare,2
Today's US marijuana policy panel with @NORML @justinamash @repblumenauer &amp; @RepBetoORourke may be seen here: https://www.youtube.com/watch?v=AIt-ILxecJ4,2
Tune in this morning for the @FinancialCmte full committee mark-up: https://financialservices.house.gov/,2
"At 5:30 p.m, the Senate will VOTE on confirmation of Exec. Cal. #100, David Bernhardt, of VA, to be Deputy Secretary of the Interior.",2
TOMORROW at 12pm Rep. Cicilline hosts Community Conversation &amp; BBQ for veterans &amp; their families https://www.facebook.com/events/546195565504081/?acontext=%7B%22source%22%3A5%2C%22page_id_source%22%3A186949061341027%2C%22action_history%22%3A[%7B%22surface%22%3A%22page%22%2C%22mechanism%22%3A%22main_list%22%2C%22extra_data%22%3A%22%7B%5C%22page_id%5C%22%3A186949061341027%2C%5C%22tour_id%5C%22%3Anull%7D%22%7D]%2C%22has_source%22%3Atrue%7D,2
"RT @IGNITE_National ""We're going to have a woman for president. Maybe that person is in this room"" Leader @NancyPelosi #YoungWomenRun http://facebook.com/IGNITEnational/videos/1490977000982824/",2
Study: Black girls viewed as ‘less innocent’ than white girls http://wapo.st/2sjffX4?tid=ss_tw-bottom&utm_term=.4c937f715900,2
Texas coastal cities likely to soon face chronic flooding from #ClimateChange. The oceans are rising; so must we. http://www.mysanantonio.com/opinion/editorials/article/Climate-change-will-bring-coastal-flooding-11297630.php,1
Today the NJ Cable Telecommunications Assn updated me on the state of the industry &amp; areas of concern https://t.co/lnqpcicZmJ,2
Check out my recent oped highlighting the need for synthetic drug reforms in #CNY --&gt; http://bit.ly/2tpQI4K,2
.@SenJohnMcCain is tough as they come. I look forward to seeing him back in DC soon. 🙏🏿 with him and the entire McCain family.,2
You can read my latest op-ed for Cosmopolitan here: It's Time for Jared and Ivanka to Go http://www.cosmopolitan.com/politics/a10329701/jared-kushner-ivanka-trump-nepotism-jackie-speier/ via @Cosmopolitan,1
#LDTC17 will being in just a few minutes. Watch the livestream here: http://cha.house.gov/LDTC17 #data #technology,2
"RT @IndivisibleHoCo Zero waste in Maryland.  Come and learn how we can help make it happen. Details &amp; sign up via this Eventbrite link.

https://www.eventbrite.com/e/zero-waste-in-maryland-how-local-communities-can-make-it-happen-tickets-36497468912",2
You should read @NancyPelosi’s piece in the @washingtonpost about Democrats’ new plan for #ABetterDeal. https://goo.gl/r61KbH,2
"My CJS Approps bill, which includes funding for @CommerceGov, @TheJusticeDept, @NASA &amp; more, heads to Senate floor. https://www.shelby.senate.gov/public/index.cfm/2017/7/shelby-announces-critical-funding-in-fy2018-commerce-justice-and-science-appropriations-bill",2
Attention all #TX36 students: Today is the start of the 2017 Congressional App Challenge. Click here to learn more ➡http://www.congressionalappchallenge.us/. http://pbs.twimg.com/media/DFrjbiZWAAMO7oo.jpg,2
"RT @NewsRadio930 At 720am - @RepChrisCollins joins us for healthcare talk, Jeff Sessions thoughts and more.",2
RT @wusa9 Water companies are billions short to fix country's aging water systems http://on.wusa9.com/2tLOpf6 http://pbs.twimg.com/media/DED3VTsXYAAjor9.jpg,2
"#Ohio is open for business! More than 1,200 @Amazon #jobs could soon be on their way to NE Ohio: http://realestate.cleveland.com/realestate-news/2017/07/amazoncom_fulfillment_center_p.html#incart_m-rpt-1",2
"Three more Republican Senators came out against #Trumpcare today, which is two more than we need to beat this bad... http://fb.me/tGK0LoiY",2
"RT @foxandfriends Coming up…!
@SHSanders45
@RandPaul
@Sen_JoeManchin
@newtgingrich
@DanPatrick
@RCamposDuffy
@Varneyco
@Theonlyhonest
@carriesheffield http://pbs.twimg.com/media/DFkm1fLVoAA9T1F.jpg https://video.twimg.com/amplify_video/889784954560724993/vid/320x180/Jt3Zg1QX8_lC1PRw.mp4",2
"ICYMI: I discussed Putin, #Tump, Aliso Canyon, and more on @KTLAMorningNews this morning. Watch my interview here: https://youtu.be/YE_Oxz73e-E",2
"ICYMI--&gt; My conversation w/ @DanThorn_ on West Virginia Tonight regarding healthcare. @WOWK13News #wv02 #wvpol

http://www.tristateupdate.com/clip/13483867/alex-mooney-talks-american-health-care-act",2
"Don't be fooled. @ATT doesn't support Title II, #NetNeutrality, or the internet day of action. #StayWoke https://www.recode.net/2017/7/11/15952896/att-net-neutrality-day-of-action-fcc",1
It is through their dedication that Selfridge has become the model modern Air National Guard Base that it is today. #MI10,2
RT @LGBTEqCaucus LIVE:  Head over to the LGBT Caucus Facebook page for our press conference denouncing transphobic Trump tweets,2
"Robert Mueller’s Russia investigation, and why Trump is so afraid of it, explained - Vox https://apple.news/AJ5EOgkXTQuaFBkzKhubesw",2
The #FMLA has meant many workers can take needed time off without having to worry about losing their jobs or health insurance. #FMLA24,3
RT @nowthisnews Lindsay Graham and Dick Durbin are joining forces to protect immigrant children from being kicked out of the U.S. http://pbs.twimg.com/media/DFRKURtWAAIHxeO.jpg https://video.twimg.com/amplify_video/888413886541697024/vid/720x720/t1FMaEklYwHK6w5n.mp4,2
"On deportations &amp; criminalizing immigrants, Trump Sessions Kelly Bannon trying to implement agenda House GOP can't get enacted #HereToStay",2
"The Republican-led House has passed 269 bills, making it the most productive during a first-term presidency in the modern-era. http://pbs.twimg.com/tweet_video_thumb/DEizL77XcAApCDU.jpg https://video.twimg.com/tweet_video/DEizL77XcAApCDU.mp4",3
We can stop climate change AND create thousands of American jobs. @ChrisMurphy &amp; I have a plan to get us started: https://t.co/lCohpgjTpU,3
RT @MoveOn CALL @lisamurkowski &amp; demand @SenateGOP #ProtectOurCare: 844-432-0883 #HandsOff #Medicaid. http://pbs.twimg.com/media/DDWURalVwAAWOUG.jpg,2
"This week in #OGHistory: Civility, Video Filtering, #JusticeforJosh and 🥓🥓🥓 http://pbs.twimg.com/ext_tw_video_thumb/880910734636482560/pu/img/BN3MR5jZ90FF5vJc.jpg https://video.twimg.com/ext_tw_video/880910734636482560/pu/vid/224x128/hSdrd2OhOkWBAjpO.mp4",2
"Last night, right defeated wrong and millions of lives were saved. Thanks Senators McCaine, Murkowski and Collins for saying ""no"" to repeal",3
"RT @840WHAS At 3:10p, @terrymeiners talks with @KYComer. Listen to their conversation: http://www.whas.com/listen http://pbs.twimg.com/media/DGKRaGzVoAACMEK.jpg",2
"RT @bijanet @RepSpeier @Caltrain electrification groundbreaking, an extraordinary day for Bay Area, for the state. It's about the future.#sustainability http://pbs.twimg.com/media/DFRrSdKUAAAE4uj.jpg",2
Voy a dirigir un foro de inmigración en donde tendrá la oportunidad de escuchar directamente de expertos en #DACA y derechos de inmigrantes. http://pbs.twimg.com/media/DEZi6s2XcAE6pS4.jpg,2
